feature_id,family,target,fold,system,name,ensemble,threshold,acc,prec,rec,f1,tn,fp,fn,tp,roc_auc,pr_auc,train_time,infer_time
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,LR+KNN+DT+RF+LinearSVC,All_Hard,,0.9200203769740194,0.8574423480083857,0.9749702026221693,0.9124372559955382,988.0,136.0,21.0,818.0,,,0.0,0.04331469535827637
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,LR+KNN+DT+RF+LinearSVC,All_Soft,0.4096048712730408,0.9403973509933775,0.9029017857142857,0.964243146603099,0.9325648414985591,1037.0,87.0,30.0,809.0,0.9850339753731565,0.9702462721234564,0.0,0.0727083683013916
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,LR+KNN+DT+RF+LinearSVC,All_WeightedSoft,0.41463143825531007,0.9419256240448294,0.9068462401795735,0.9630512514898689,0.9341040462427745,1041.0,83.0,31.0,808.0,0.9855440301324658,0.9718317816269202,0.0,0.0727076530456543
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,RF+KNN,Best2_Hard,,0.9077941925624045,0.8398760330578512,0.9690107270560191,0.8998339789706696,969.0,155.0,26.0,813.0,,,0.0,0.04201555252075195
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,RF+KNN,Best2_Soft,0.3543219268321991,0.9317371370351503,0.8886438809261301,0.9606674612634089,0.9232531500572738,1023.0,101.0,33.0,806.0,0.9848303776313948,0.9745325033028749,0.0,0.0545504093170166
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,RF+KNN,Best2_WeightedSoft,0.3607323169708252,0.9337748344370861,0.8925802879291251,0.9606674612634089,0.9253731343283582,1027.0,97.0,33.0,806.0,0.9849576262199958,0.9746705050066421,0.0,0.05465340614318848
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,DT+LR,Fast2_Hard,,0.7834946510443199,0.666131621187801,0.9892729439809297,0.7961630695443646,708.0,416.0,9.0,830.0,,,0.0,0.000415802001953125
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,DT+LR,Fast2_Soft,0.3388427019119263,0.8813041263372389,0.7941747572815534,0.9749702026221693,0.875334403424291,912.0,212.0,21.0,818.0,0.9639085888555685,0.9118913636034751,0.0,0.03056955337524414
SkipGram_compact_dim64_win3,SkipGram,S8,4,within_feature,DT+LR,Fast2_WeightedSoft,0.33408023715019225,0.8813041263372389,0.7941747572815534,0.9749702026221693,0.875334403424291,912.0,212.0,21.0,818.0,0.9636540916783665,0.9116229629462568,0.0,0.030552387237548828
OpPhrase_unigram_only_dim128_win5,OpPhrase,S1,0,single,LR,-,0.3574542701244354,0.8272608978529603,0.7937033968516984,0.9830682401231401,0.8782947513179006,627.0,498.0,33.0,1916.0,0.8982224502593923,0.8690349678008921,0.0,0.0005183219909667969
OpPhrase_unigram_only_dim128_win5,OpPhrase,S1,0,single,KNN,-,0.6000000238418579,0.48991541964866625,0.7864661654135339,0.26834273986659823,0.4001530221882173,983.0,142.0,1426.0,523.0,0.8486875320677271,0.845801008145259,0.0,0.04506993293762207
OpPhrase_unigram_only_dim128_win5,OpPhrase,S1,0,single,DT,-,0.4968218505382538,0.3819128171763175,0.5667574931880109,0.10672139558748076,0.17962003454231434,966.0,159.0,1741.0,208.0,0.4681468559375178,0.6273466995140656,0.0,0.0002899169921875
OpPhrase_unigram_only_dim128_win5,OpPhrase,S1,0,single,RF,-,0.625,0.391021470396877,0.6370106761565836,0.0918419702411493,0.16053811659192826,1023.0,102.0,1770.0,179.0,0.7670178439085571,0.7773993443843744,0.0,0.023361682891845703
OpPhrase_unigram_only_dim128_win5,OpPhrase,S1,0,single,LinearSVC,-,0.5432308465242386,0.8344176968119714,0.7950819672131147,0.995382247306311,0.884028252449305,625.0,500.0,9.0,1940.0,0.9263435379966933,0.9046785344579852,0.0,0.001672983169555664
